id,name,email,phone,country,industry,address,created_at
57,Wide World Importers Demo Customer 057,customer057@contoso.example,+1-555-010-0057,México,Finanzas,"57 Training Avenue, México",2025-02-27
58,Litware Demo Customer 058,customer058@contoso.example,+1-555-010-0058,México,Salud,"58 Training Avenue, México",2025-02-28
59,Proseware Demo Customer 059,customer059@contoso.example,+1-555-010-0059,Argentina,Manufactura,"59 Training Avenue, Argentina",2025-03-01
60,Fourth Coffee Demo Customer 060,customer060@contoso.example,+1-555-010-0060,Canadá,Manufactura,"60 Training Avenue, Canadá",2025-03-02
61,Woodgrove Bank Demo Customer 061,customer061@contoso.example,+1-555-010-0061,Argentina,Retail,"61 Training Avenue, Argentina",2025-03-03
62,Fourth Coffee Demo Customer 062,customer062@contoso.example,+1-555-010-0062,Perú,Finanzas,"62 Training Avenue, Perú",2025-03-04
63,Fabrikam Demo Customer 063,customer063@contoso.example,+1-555-010-0063,España,Manufactura,"63 Training Avenue, España",2025-03-05
64,Alpine Ski House Demo Customer 064,customer064@contoso.example,+1-555-010-0064,Colombia,Manufactura,"64 Training Avenue, Colombia",2025-03-06
65,Litware Demo Customer 065,customer065@contoso.example,+1-555-010-0065,Argentina,Educación,"65 Training Avenue, Argentina",2025-03-07
66,Proseware Demo Customer 066,customer066@contoso.example,+1-555-010-0066,México,Manufactura,"66 Training Avenue, México",2025-03-08
67,Proseware Demo Customer 067,customer067@contoso.example,+1-555-010-0067,Portugal,Manufactura,"67 Training Avenue, Portugal",2025-03-09
68,Tailspin Toys Demo Customer 068,customer068@contoso.example,+1-555-010-0068,Canadá,Tecnología,"68 Training Avenue, Canadá",2025-03-10
69,Proseware Demo Customer 069,customer069@contoso.example,+1-555-010-0069,México,Finanzas,"69 Training Avenue, México",2025-03-11
70,Trey Research Demo Customer 070,customer070@contoso.example,+1-555-010-0070,Colombia,Finanzas,"70 Training Avenue, Colombia",2025-03-12
71,Northwind Traders Demo Customer 071,customer071@contoso.example,+1-555-010-0071,Argentina,Retail,"71 Training Avenue, Argentina",2025-03-13
72,Woodgrove Bank Demo Customer 072,customer072@contoso.example,+1-555-010-0072,España,Educación,"72 Training Avenue, España",2025-03-14
73,Proseware Demo Customer 073,customer073@contoso.example,+1-555-010-0073,Portugal,Educación,"73 Training Avenue, Portugal",2025-03-15
74,Fourth Coffee Demo Customer 074,customer074@contoso.example,+1-555-010-0074,México,Finanzas,"74 Training Avenue, México",2025-03-16
75,Tailspin Toys Demo Customer 075,customer075@contoso.example,+1-555-010-0075,Perú,Tecnología,"75 Training Avenue, Perú",2025-03-17
76,Litware Demo Customer 076,customer076@contoso.example,+1-555-010-0076,Colombia,Finanzas,"76 Training Avenue, Colombia",2025-03-18
77,Tailspin Toys Demo Customer 077,customer077@contoso.example,+1-555-010-0077,Perú,Educación,"77 Training Avenue, Perú",2025-03-19
78,Adventure Works Demo Customer 078,customer078@contoso.example,+1-555-010-0078,España,Manufactura,"78 Training Avenue, España",2025-03-20
79,Tailspin Toys Demo Customer 079,customer079@contoso.example,+1-555-010-0079,Perú,Finanzas,"79 Training Avenue, Perú",2025-03-21
80,Trey Research Demo Customer 080,customer080@contoso.example,+1-555-010-0080,México,Finanzas,"80 Training Avenue, México",2025-03-22
81,Woodgrove Bank Demo Customer 081,customer081@contoso.example,+1-555-010-0081,Canadá,Retail,"81 Training Avenue, Canadá",2025-03-23
82,Northwind Traders Demo Customer 082,customer082@contoso.example,+1-555-010-0082,Portugal,Salud,"82 Training Avenue, Portugal",2025-03-24
83,Trey Research Demo Customer 083,customer083@contoso.example,+1-555-010-0083,Perú,Finanzas,"83 Training Avenue, Perú",2025-03-25
84,Litware Demo Customer 084,customer084@contoso.example,+1-555-010-0084,España,Tecnología,"84 Training Avenue, España",2025-03-26
85,Fabrikam Demo Customer 085,customer085@contoso.example,+1-555-010-0085,España,Finanzas,"85 Training Avenue, España",2025-03-27
86,Northwind Traders Demo Customer 086,customer086@contoso.example,+1-555-010-0086,Colombia,Educación,"86 Training Avenue, Colombia",2025-03-28
87,Northwind Traders Demo Customer 087,customer087@contoso.example,+1-555-010-0087,Colombia,Educación,"87 Training Avenue, Colombia",2025-03-29
88,Fourth Coffee Demo Customer 088,customer088@contoso.example,+1-555-010-0088,México,Manufactura,"88 Training Avenue, México",2025-03-30
89,Trey Research Demo Customer 089,customer089@contoso.example,+1-555-010-0089,Perú,Manufactura,"89 Training Avenue, Perú",2025-03-31
90,Litware Demo Customer 090,customer090@contoso.example,+1-555-010-0090,Chile,Finanzas,"90 Training Avenue, Chile",2025-04-01
91,Litware Demo Customer 091,customer091@contoso.example,+1-555-010-0091,Perú,Manufactura,"91 Training Avenue, Perú",2025-04-02
92,Proseware Demo Customer 092,customer092@contoso.example,+1-555-010-0092,Colombia,Salud,"92 Training Avenue, Colombia",2025-04-03
93,Alpine Ski House Demo Customer 093,customer093@contoso.example,+1-555-010-0093,México,Manufactura,"93 Training Avenue, México",2025-04-04
94,Adventure Works Demo Customer 094,customer094@contoso.example,+1-555-010-0094,Chile,Tecnología,"94 Training Avenue, Chile",2025-04-05
95,Adventure Works Demo Customer 095,customer095@contoso.example,+1-555-010-0095,México,Tecnología,"95 Training Avenue, México",2025-04-06
96,Woodgrove Bank Demo Customer 096,customer096@contoso.example,+1-555-010-0096,España,Manufactura,"96 Training Avenue, España",2025-04-07
97,Northwind Traders Demo Customer 097,customer097@contoso.example,+1-555-010-0097,Chile,Manufactura,"97 Training Avenue, Chile",2025-04-08
98,Trey Research Demo Customer 098,customer098@contoso.example,+1-555-010-0098,Perú,Finanzas,"98 Training Avenue, Perú",2025-04-09
99,Fourth Coffee Demo Customer 099,customer099@contoso.example,+1-555-010-0099,Chile,Retail,"99 Training Avenue, Chile",2025-04-10
100,Wide World Importers Demo Customer 100,customer100@contoso.example,+1-555-010-0100,Colombia,Tecnología,"100 Training Avenue, Colombia",2025-04-11
101,Tailspin Toys Demo Customer 101,customer101@contoso.example,+1-555-010-0101,Argentina,Finanzas,"101 Training Avenue, Argentina",2025-04-12
102,Wide World Importers Demo Customer 102,customer102@contoso.example,+1-555-010-0102,México,Manufactura,"102 Training Avenue, México",2025-04-13
103,Contoso Demo Customer 103,customer103@contoso.example,+1-555-010-0103,Portugal,Educación,"103 Training Avenue, Portugal",2025-04-14
104,Proseware Demo Customer 104,customer104@contoso.example,+1-555-010-0104,México,Salud,"104 Training Avenue, México",2025-04-15
105,Litware Demo Customer 105,customer105@contoso.example,+1-555-010-0105,Canadá,Manufactura,"105 Training Avenue, Canadá",2025-04-16
106,Wide World Importers Demo Customer 106,customer106@contoso.example,+1-555-010-0106,España,Tecnología,"106 Training Avenue, España",2025-04-17
107,Fabrikam Demo Customer 107,customer107@contoso.example,+1-555-010-0107,Chile,Tecnología,"107 Training Avenue, Chile",2025-04-18
108,Wide World Importers Demo Customer 108,customer108@contoso.example,+1-555-010-0108,Canadá,Manufactura,"108 Training Avenue, Canadá",2025-04-19
109,Contoso Demo Customer 109,customer109@contoso.example,+1-555-010-0109,Chile,Tecnología,"109 Training Avenue, Chile",2025-04-20
110,Adventure Works Demo Customer 110,customer110@contoso.example,+1-555-010-0110,México,Manufactura,"110 Training Avenue, México",2025-04-21
111,Fourth Coffee Demo Customer 111,customer111@contoso.example,+1-555-010-0111,Colombia,Finanzas,"111 Training Avenue, Colombia",2025-04-22
112,Northwind Traders Demo Customer 112,customer112@contoso.example,+1-555-010-0112,España,Salud,"112 Training Avenue, España",2025-04-23
113,Contoso Demo Customer 113,customer113@contoso.example,+1-555-010-0113,España,Manufactura,"113 Training Avenue, España",2025-04-24
114,Tailspin Toys Demo Customer 114,customer114@contoso.example,+1-555-010-0114,Colombia,Finanzas,"114 Training Avenue, Colombia",2025-04-25
115,Proseware Demo Customer 115,customer115@contoso.example,+1-555-010-0115,Perú,Finanzas,"115 Training Avenue, Perú",2025-04-26
116,Fourth Coffee Demo Customer 116,customer116@contoso.example,+1-555-010-0116,México,Salud,"116 Training Avenue, México",2025-04-27
117,Proseware Demo Customer 117,customer117@contoso.example,+1-555-010-0117,Perú,Educación,"117 Training Avenue, Perú",2025-04-28
118,Woodgrove Bank Demo Customer 118,customer118@contoso.example,+1-555-010-0118,Colombia,Educación,"118 Training Avenue, Colombia",2025-04-29
119,Fourth Coffee Demo Customer 119,customer119@contoso.example,+1-555-010-0119,Argentina,Tecnología,"119 Training Avenue, Argentina",2025-04-30
120,Litware Demo Customer 120,customer120@contoso.example,+1-555-010-0120,Canadá,Salud,"120 Training Avenue, Canadá",2025-05-01
121,Fourth Coffee Demo Customer 121,customer121@contoso.example,+1-555-010-0121,Portugal,Retail,"121 Training Avenue, Portugal",2025-05-02
122,Trey Research Demo Customer 122,customer122@contoso.example,+1-555-010-0122,Canadá,Tecnología,"122 Training Avenue, Canadá",2025-05-03
123,Wide World Importers Demo Customer 123,customer123@contoso.example,+1-555-010-0123,México,Salud,"123 Training Avenue, México",2025-05-04
124,Alpine Ski House Demo Customer 124,customer124@contoso.example,+1-555-010-0124,Perú,Tecnología,"124 Training Avenue, Perú",2025-05-05
125,Tailspin Toys Demo Customer 125,customer125@contoso.example,+1-555-010-0125,México,Tecnología,"125 Training Avenue, México",2025-05-06
126,Wide World Importers Demo Customer 126,customer126@contoso.example,+1-555-010-0126,Argentina,Finanzas,"126 Training Avenue, Argentina",2025-05-07
127,Tailspin Toys Demo Customer 127,customer127@contoso.example,+1-555-010-0127,Portugal,Manufactura,"127 Training Avenue, Portugal",2025-05-08
128,Fabrikam Demo Customer 128,customer128@contoso.example,+1-555-010-0128,Perú,Retail,"128 Training Avenue, Perú",2025-05-09
129,Tailspin Toys Demo Customer 129,customer129@contoso.example,+1-555-010-0129,Portugal,Educación,"129 Training Avenue, Portugal",2025-05-10
130,Contoso Demo Customer 130,customer130@contoso.example,+1-555-010-0130,Portugal,Finanzas,"130 Training Avenue, Portugal",2025-05-11
131,Alpine Ski House Demo Customer 131,customer131@contoso.example,+1-555-010-0131,México,Educación,"131 Training Avenue, México",2025-05-12
132,Tailspin Toys Demo Customer 132,customer132@contoso.example,+1-555-010-0132,Argentina,Manufactura,"132 Training Avenue, Argentina",2025-05-13
133,Litware Demo Customer 133,customer133@contoso.example,+1-555-010-0133,España,Retail,"133 Training Avenue, España",2025-05-14
134,Fabrikam Demo Customer 134,customer134@contoso.example,+1-555-010-0134,España,Manufactura,"134 Training Avenue, España",2025-05-15
135,Wide World Importers Demo Customer 135,customer135@contoso.example,+1-555-010-0135,Chile,Salud,"135 Training Avenue, Chile",2025-05-16
136,Trey Research Demo Customer 136,customer136@contoso.example,+1-555-010-0136,Chile,Educación,"136 Training Avenue, Chile",2025-05-17
137,Northwind Traders Demo Customer 137,customer137@contoso.example,+1-555-010-0137,España,Tecnología,"137 Training Avenue, España",2025-05-18
138,Wide World Importers Demo Customer 138,customer138@contoso.example,+1-555-010-0138,México,Retail,"138 Training Avenue, México",2025-05-19
139,Litware Demo Customer 139,customer139@contoso.example,+1-555-010-0139,Argentina,Retail,"139 Training Avenue, Argentina",2025-05-20
140,Tailspin Toys Demo Customer 140,customer140@contoso.example,+1-555-010-0140,Argentina,Retail,"140 Training Avenue, Argentina",2025-05-21
141,Contoso Demo Customer 141,customer141@contoso.example,+1-555-010-0141,Argentina,Retail,"141 Training Avenue, Argentina",2025-05-22
142,Alpine Ski House Demo Customer 142,customer142@contoso.example,+1-555-010-0142,México,Finanzas,"142 Training Avenue, México",2025-05-23
143,Northwind Traders Demo Customer 143,customer143@contoso.example,+1-555-010-0143,México,Finanzas,"143 Training Avenue, México",2025-05-24
144,Northwind Traders Demo Customer 144,customer144@contoso.example,+1-555-010-0144,Canadá,Manufactura,"144 Training Avenue, Canadá",2025-05-25
145,Fabrikam Demo Customer 145,customer145@contoso.example,+1-555-010-0145,Portugal,Educación,"145 Training Avenue, Portugal",2025-05-26
146,Fabrikam Demo Customer 146,customer146@contoso.example,+1-555-010-0146,Colombia,Retail,"146 Training Avenue, Colombia",2025-05-27
147,Fabrikam Demo Customer 147,customer147@contoso.example,+1-555-010-0147,España,Educación,"147 Training Avenue, España",2025-05-28
148,Contoso Demo Customer 148,customer148@contoso.example,+1-555-010-0148,Perú,Manufactura,"148 Training Avenue, Perú",2025-05-29
149,Contoso Demo Customer 149,customer149@contoso.example,+1-555-010-0149,Portugal,Retail,"149 Training Avenue, Portugal",2025-05-30
150,Fabrikam Demo Customer 150,customer150@contoso.example,+1-555-010-0150,España,Retail,"150 Training Avenue, España",2025-05-31
151,Woodgrove Bank Demo Customer 151,customer151@contoso.example,+1-555-010-0151,Chile,Manufactura,"151 Training Avenue, Chile",2025-06-01
152,Tailspin Toys Demo Customer 152,customer152@contoso.example,+1-555-010-0152,Perú,Tecnología,"152 Training Avenue, Perú",2025-06-02
153,Wide World Importers Demo Customer 153,customer153@contoso.example,+1-555-010-0153,Chile,Finanzas,"153 Training Avenue, Chile",2025-06-03
154,Fourth Coffee Demo Customer 154,customer154@contoso.example,+1-555-010-0154,Argentina,Manufactura,"154 Training Avenue, Argentina",2025-06-04
155,Contoso Demo Customer 155,customer155@contoso.example,+1-555-010-0155,Canadá,Retail,"155 Training Avenue, Canadá",2025-06-05
156,Woodgrove Bank Demo Customer 156,customer156@contoso.example,+1-555-010-0156,Colombia,Salud,"156 Training Avenue, Colombia",2025-06-06
157,Adventure Works Demo Customer 157,customer157@contoso.example,+1-555-010-0157,Argentina,Manufactura,"157 Training Avenue, Argentina",2025-06-07
158,Woodgrove Bank Demo Customer 158,customer158@contoso.example,+1-555-010-0158,Colombia,Retail,"158 Training Avenue, Colombia",2025-06-08
159,Tailspin Toys Demo Customer 159,customer159@contoso.example,+1-555-010-0159,Chile,Finanzas,"159 Training Avenue, Chile",2025-06-09
160,Tailspin Toys Demo Customer 160,customer160@contoso.example,+1-555-010-0160,Perú,Educación,"160 Training Avenue, Perú",2025-06-10
161,Adventure Works Demo Customer 161,customer161@contoso.example,+1-555-010-0161,Canadá,Retail,"161 Training Avenue, Canadá",2025-06-11
162,Adventure Works Demo Customer 162,customer162@contoso.example,+1-555-010-0162,Chile,Salud,"162 Training Avenue, Chile",2025-06-12
163,Proseware Demo Customer 163,customer163@contoso.example,+1-555-010-0163,Portugal,Manufactura,"163 Training Avenue, Portugal",2025-06-13
164,Trey Research Demo Customer 164,customer164@contoso.example,+1-555-010-0164,España,Manufactura,"164 Training Avenue, España",2025-06-14
165,Alpine Ski House Demo Customer 165,customer165@contoso.example,+1-555-010-0165,Portugal,Salud,"165 Training Avenue, Portugal",2025-06-15
166,Litware Demo Customer 166,customer166@contoso.example,+1-555-010-0166,Perú,Educación,"166 Training Avenue, Perú",2025-06-16
167,Contoso Demo Customer 167,customer167@contoso.example,+1-555-010-0167,Portugal,Manufactura,"167 Training Avenue, Portugal",2025-06-17
168,Woodgrove Bank Demo Customer 168,customer168@contoso.example,+1-555-010-0168,Perú,Manufactura,"168 Training Avenue, Perú",2025-06-18
169,Litware Demo Customer 169,customer169@contoso.example,+1-555-010-0169,Colombia,Finanzas,"169 Training Avenue, Colombia",2025-06-19
170,Litware Demo Customer 170,customer170@contoso.example,+1-555-010-0170,Colombia,Salud,"170 Training Avenue, Colombia",2025-06-20
171,Litware Demo Customer 171,customer171@contoso.example,+1-555-010-0171,España,Manufactura,"171 Training Avenue, España",2025-06-21
172,Wide World Importers Demo Customer 172,customer172@contoso.example,+1-555-010-0172,España,Tecnología,"172 Training Avenue, España",2025-06-22
173,Woodgrove Bank Demo Customer 173,customer173@contoso.example,+1-555-010-0173,Chile,Tecnología,"173 Training Avenue, Chile",2025-06-23
174,Trey Research Demo Customer 174,customer174@contoso.example,+1-555-010-0174,Colombia,Retail,"174 Training Avenue, Colombia",2025-06-24
175,Trey Research Demo Customer 175,customer175@contoso.example,+1-555-010-0175,Argentina,Tecnología,"175 Training Avenue, Argentina",2025-06-25
176,Fabrikam Demo Customer 176,customer176@contoso.example,+1-555-010-0176,Perú,Finanzas,"176 Training Avenue, Perú",2025-06-26
177,Northwind Traders Demo Customer 177,customer177@contoso.example,+1-555-010-0177,Chile,Finanzas,"177 Training Avenue, Chile",2025-06-27
178,Contoso Demo Customer 178,customer178@contoso.example,+1-555-010-0178,Portugal,Retail,"178 Training Avenue, Portugal",2025-06-28
179,Litware Demo Customer 179,customer179@contoso.example,+1-555-010-0179,Colombia,Manufactura,"179 Training Avenue, Colombia",2025-06-29
180,Northwind Traders Demo Customer 180,customer180@contoso.example,+1-555-010-0180,Argentina,Tecnología,"180 Training Avenue, Argentina",2025-06-30
181,Woodgrove Bank Demo Customer 181,customer181@contoso.example,+1-555-010-0181,España,Manufactura,"181 Training Avenue, España",2025-07-01
182,Trey Research Demo Customer 182,customer182@contoso.example,+1-555-010-0182,Portugal,Educación,"182 Training Avenue, Portugal",2025-07-02
183,Fabrikam Demo Customer 183,customer183@contoso.example,+1-555-010-0183,Chile,Salud,"183 Training Avenue, Chile",2025-07-03
184,Trey Research Demo Customer 184,customer184@contoso.example,+1-555-010-0184,Perú,Finanzas,"184 Training Avenue, Perú",2025-07-04
185,Northwind Traders Demo Customer 185,customer185@contoso.example,+1-555-010-0185,España,Tecnología,"185 Training Avenue, España",2025-07-05
186,Adventure Works Demo Customer 186,customer186@contoso.example,+1-555-010-0186,Colombia,Retail,"186 Training Avenue, Colombia",2025-07-06
187,Fourth Coffee Demo Customer 187,customer187@contoso.example,+1-555-010-0187,Argentina,Finanzas,"187 Training Avenue, Argentina",2025-07-07
188,Wide World Importers Demo Customer 188,customer188@contoso.example,+1-555-010-0188,Perú,Finanzas,"188 Training Avenue, Perú",2025-07-08
189,Wide World Importers Demo Customer 189,customer189@contoso.example,+1-555-010-0189,España,Finanzas,"189 Training Avenue, España",2025-07-09
190,Proseware Demo Customer 190,customer190@contoso.example,+1-555-010-0190,México,Salud,"190 Training Avenue, México",2025-07-10
191,Northwind Traders Demo Customer 191,customer191@contoso.example,+1-555-010-0191,Argentina,Retail,"191 Training Avenue, Argentina",2025-07-11
192,Alpine Ski House Demo Customer 192,customer192@contoso.example,+1-555-010-0192,Portugal,Retail,"192 Training Avenue, Portugal",2025-07-12
193,Northwind Traders Demo Customer 193,customer193@contoso.example,+1-555-010-0193,Portugal,Educación,"193 Training Avenue, Portugal",2025-07-13
194,Northwind Traders Demo Customer 194,customer194@contoso.example,+1-555-010-0194,México,Educación,"194 Training Avenue, México",2025-07-14
195,Adventure Works Demo Customer 195,customer195@contoso.example,+1-555-010-0195,México,Retail,"195 Training Avenue, México",2025-07-15
196,Proseware Demo Customer 196,customer196@contoso.example,+1-555-010-0196,Argentina,Salud,"196 Training Avenue, Argentina",2025-07-16
197,Tailspin Toys Demo Customer 197,customer197@contoso.example,+1-555-010-0197,Colombia,Salud,"197 Training Avenue, Colombia",2025-07-17
198,Litware Demo Customer 198,customer198@contoso.example,+1-555-010-0198,Portugal,Educación,"198 Training Avenue, Portugal",2025-07-18
199,Trey Research Demo Customer 199,customer199@contoso.example,+1-555-010-0199,Chile,Educación,"199 Training Avenue, Chile",2025-07-19
200,Alpine Ski House Demo Customer 200,customer200@contoso.example,+1-555-010-0200,Argentina,Educación,"200 Training Avenue, Argentina",2025-07-20
